Object1,Object2,Dissimdist,Relationship,Traffic
bofa,usbancorp,0.2591064737,competitor,
jpmchase,bofa,0.3081355456,competitor,
mastercard,visa,0.3498708897,competitor,
bankofnewyork,bofa,0.3720210744,competitor,
jpmchase,bankofnewyork,0.3753640579,competitor,
jpmchase,usbancorp,0.3834707704,competitor,
bofa,c.bailout,0.4098764037,constituent,
citigroup,jpmchase,0.4149490409,competitor,
gm,ge,0.4176166228,peer,
citigroup,bofa,0.4270609616,competitor,
bankofnewyork,usbancorp,0.4350874285,competitor,
png,colgate-palmolive,0.4465573149,competitor,
citigroup,c.bailout,0.4528046848,constituent,
jpmchase,c.bailout,0.4535428611,constituent,
3m,ge,0.454641975,valuechain,
c.bailout,usbancorp,0.4553304117,constituent,
exxonmobil,occidentalpetrol,0.4590500466,competitor,
chevron,exxonmobil,0.4641504646,competitor,
3m,png,0.4645513339,peer,
citigroup,bankofnewyork,0.4898405754,competitor,
amex,mastercard,0.4924694487,competitor,
png,ge,0.4967617036,peer,
abbott,abbvie,0.4971845392,sister,
conocophillips,exxonmobil,0.5005873973,competitor,
abbott,png,0.5017089584,peer,
citigroup,usbancorp,0.502719295,competitor,
bankofnewyork,c.bailout,0.5068429614,constituent,
ge,generaldynamics,0.5069373483,peer,
chevron,occidentalpetrol,0.5115208787,competitor,
citigroup,ge,0.5135017427,competitor,
amex,visa,0.5142212192,competitor,
gm,tesla,0.5168228938,competitor,
abbott,bristolmyerssquibb,0.5191075618,competitor,
philipmorrisint,altria,0.5212328051,sister,
gm,generaldynamics,0.5228131035,peer,
pepsico,png,0.5228373245,competitor,
jpmchase,morganstanley,0.5247042331,competitor,
3m,colgate-palmolive,0.5289766725,peer,
3m,dupont,0.5313766635,competitor,
honeywell,ge,0.5317672144,competitor,
c.streamingmedia,c.videoondemand,0.5327695172,sister,
abbott,ge,0.5339544046,peer,
png,elilily,0.5345716805,peer,
goldmansachs,citigroup,0.5361118072,competitor,
png,cocacola,0.5361810694,competitor,
dukeenergy,exelon,0.5362433753,competitor,
3m,abbott,0.5366972317,peer,
gm,c.electricvehicle,0.5367305974,constituent,
3m,elilily,0.5371171832,peer,
abbott,elilily,0.5372277019,competitor,
gm,c.selfdriving,0.5378763044,constituent,
